#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.0000  23.05631555 1.29401165
  0.0010  23.02615644 1.29433736
  0.0020  22.93569361 1.29531523
  0.0030  22.78497054 1.29694746
  0.0040  22.57405970 1.29923773
  0.0050  22.30306251 1.30219127
  0.0060  21.97210933 1.30581487
  0.0070  21.58135946 1.31011697
  0.0080  21.13100105 1.31510778
  0.0090  20.62125117 1.32079937
  0.0100  20.05235573 1.32720585
  0.0110  19.42458955 1.33434361
  0.0120  18.73825640 1.34223164
  0.0130  17.99368911 1.35089191
  0.0140  17.19124983 1.36034997
  0.0150  16.33133042 1.37063583
  0.0160  15.41435311 1.38178525
  0.0170  14.44077162 1.39384165
  0.0180  13.41107307 1.40685941
  0.0190  12.32578122 1.42090921
  0.0200  11.18546241 1.43608782
  0.0210  9.99073648 1.45253672
  0.0220  8.74229896 1.47048098
  0.0230  7.44096938 1.49031950
  0.0240  6.08781078 1.51286632
  0.0250  4.68448033 1.54014319
  0.0260  3.23457406 1.57898359
  0.0270  1.75208611 1.67216645
  0.0280  0.47712698 11.24846226
  0.0290  1.55030850 -1.60718111
  0.0300  3.17328518 -1.61055681
  0.0310  4.86856723 -1.63832422
  0.0320  6.61682149 -1.66847908
  0.0330  8.41360627 -1.69981829
  0.0340  10.25688341 -1.73240538
  0.0350  12.14527421 -1.76641531
  0.0360  14.07763134 -1.80201474
  0.0370  16.05289805 -1.83935457
  0.0380  18.07005280 -1.87857569
  0.0390  20.12808435 -1.91981456
  0.0400  22.22597978 -1.96320713
  0.0410  24.36271817 -2.00889153
  0.0420  26.53726726 -2.05700988
  0.0430  28.74858170 -2.10770947
  0.0440  30.99560208 -2.16114347
  0.0450  33.27725456 -2.21747135
  0.0460  35.59245073 -2.27685886
  0.0470  37.94008778 -2.33947770
  0.0480  40.31904869 -2.40550477
  0.0490  42.72820261 -2.47512092
  0.0500  45.16640520 -2.54850910
  0.0510  47.63249915 -2.62585176
  0.0520  50.12531459 -2.70732729
  0.0530  52.64366964 -2.79310535
  0.0540  55.18637089 -2.88334082
  0.0550  57.75221401 -2.97816597
  0.0560  60.33998422 -3.07768073
  0.0570  62.94845692 -3.18194055
  0.0580  65.57639824 -3.29094165
  0.0590  68.22256560 -3.40460340
  0.0600  70.88570835 -3.52274768
  0.0610  73.56456831 -3.64507549
  0.0620  76.25788038 -3.77114124
  0.0630  78.96437317 -3.90032588
  0.0640  81.68276959 -4.03181081
  0.0650  84.41178743 -4.16455509
  0.0660  87.15014003 -4.29728008
  0.0670  89.89653683 -4.42846578
  0.0680  92.64968402 -4.55636428
  0.0690  95.40828516 -4.67903520
  0.0700  98.17104178 -4.79440653
  0.0710  100.93665400 -4.90036177
  0.0720  103.70382115 -4.99484981
  0.0730  106.47124239 -5.07600928
  0.0740  109.23761732 -5.14229434
  0.0750  112.00164661 -5.19258597
  0.0760  114.76203258 -5.22627326
  0.0770  117.51747986 -5.24329241
  0.0780  120.26669595 -5.24411823
  0.0790  123.00839187 -5.22971051
  0.0800  125.74128273 -5.20142496
  0.0810  128.46408837 -5.16090263
  0.0820  131.17553394 -5.10995321
  0.0830  133.87435047 -5.05044540
  0.0840  136.55927550 -4.98421399
  0.0850  139.22905368 -4.91298847
  0.0860  141.88243729 -4.83834451
  0.0870  144.51818688 -4.76167605
  0.0880  147.13507181 -4.68418468
  0.0890  149.73187082 -4.60688198
  0.0900  152.30737264 -4.53060078
  0.0910  154.86037645 -4.45601171
  0.0920  157.38969254 -4.38364256
  0.0930  159.89414278 -4.31389814
  0.0940  162.37256118 -4.24707957
  0.0950  164.82379442 -4.18340198
  0.0960  167.24670239 -4.12301041
  0.0970  169.64015868 -4.06599355
  0.0980  172.00305109 -4.01239556
  0.0990  174.33428217 -3.96222592
  0.1000  176.63276965 -3.91546771
  0.1010  178.89744697 -3.87208425
  0.1020  181.12726376 -3.83202463
  0.1030  183.32118626 -3.79522809
  0.1040  185.47819783 -3.76162750
  0.1050  187.59729936 -3.73115214
  0.1060  189.67750973 -3.70372986
  0.1070  191.71786624 -3.67928874
  0.1080  193.71742501 -3.65775838
  0.1090  195.67526141 -3.63907082
  0.1100  197.59047046 -3.62316127
  0.1110  199.46216719 -3.60996857
  0.1120  201.28948706 -3.59943553
  0.1130  203.07158629 -3.59150909
  0.1140  204.80764225 -3.58614047
  0.1150  206.49685377 -3.58328511
  0.1160  208.13844152 -3.58290265
  0.1170  209.73164827 -3.58495677
  0.1180  211.27573927 -3.58941505
