#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 40 % cholesterol
# simulations from http://doi.org/10.5281/zenodo.61992
#
# q ;  FF(q) ; error of mean over time steps
  0.0000  35.78703333 1.13630825
  0.0010  35.75121118 1.13677165
  0.0020  35.64376410 1.13816337
  0.0030  35.46475027 1.14048792
  0.0040  35.21426658 1.14375288
  0.0050  34.89244861 1.14796891
  0.0060  34.49947057 1.15314985
  0.0070  34.03554517 1.15931280
  0.0080  33.50092353 1.16647823
  0.0090  32.89589505 1.17467010
  0.0100  32.22078722 1.18391605
  0.0110  31.47596549 1.19424755
  0.0120  30.66183306 1.20570014
  0.0130  29.77883064 1.21831360
  0.0140  28.82743626 1.23213227
  0.0150  27.80816501 1.24720528
  0.0160  26.72156879 1.26358684
  0.0170  25.56823602 1.28133656
  0.0180  24.34879141 1.30051969
  0.0190  23.06389565 1.32120743
  0.0200  21.71424517 1.34347704
  0.0210  20.30057197 1.36741189
  0.0220  18.82364346 1.39310105
  0.0230  17.28426251 1.42063843
  0.0240  15.68326778 1.45012053
  0.0250  14.02153475 1.48164198
  0.0260  12.29997796 1.51528594
  0.0270  10.51955651 1.55110309
  0.0280  8.68128751 1.58906172
  0.0290  6.78628467 1.62891309
  0.0300  4.83589579 1.66974999
  0.0310  2.83244479 1.70802505
  0.0320  0.79182202 1.73113366
  0.0330  1.36420047 -1.94344843
  0.0340  3.51927148 -1.93858845
  0.0350  5.73202770 -1.99109690
  0.0360  7.99527822 -2.05609939
  0.0370  10.30697159 -2.12900639
  0.0380  12.66561931 -2.20894665
  0.0390  15.06985328 -2.29593215
  0.0400  17.51833136 -2.39029866
  0.0410  20.00970902 -2.49254253
  0.0420  22.54262911 -2.60325886
  0.0430  25.11571785 -2.72311029
  0.0440  27.72758325 -2.85280381
  0.0450  30.37681465 -2.99306549
  0.0460  33.06198285 -3.14460660
  0.0470  35.78164052 -3.30807545
  0.0480  38.53432270 -3.48398837
  0.0490  41.31854750 -3.67263308
  0.0500  44.13281681 -3.87393715
  0.0510  46.97561708 -4.08729597
  0.0520  49.84542009 -4.31135981
  0.0530  52.74068376 -4.54378968
  0.0540  55.65985302 -4.78101051
  0.0550  58.60136064 -5.01801686
  0.0560  61.56362809 -5.24831684
  0.0570  64.54506641 -5.46412032
  0.0580  67.54407707 -5.65686418
  0.0590  70.55905290 -5.81809586
  0.0600  73.58837894 -5.94060505
  0.0610  76.63043336 -6.01954796
  0.0620  79.68358834 -6.05323577
  0.0630  82.74621099 -6.04333254
  0.0640  85.81666428 -5.99441197
  0.0650  88.89330788 -5.91304906
  0.0660  91.97449915 -5.80674749
  0.0670  95.05859402 -5.68298240
  0.0680  98.14394790 -5.54852139
  0.0690  101.22891657 -5.40905681
  0.0700  104.31185717 -5.26909563
  0.0710  107.39112902 -5.13202099
  0.0720  110.46509461 -5.00024429
  0.0730  113.53212045 -4.87538868
  0.0740  116.59057800 -4.75846800
  0.0750  119.63884458 -4.65004310
  0.0760  122.67530423 -4.55034983
  0.0770  125.69834867 -4.45939895
  0.0780  128.70637813 -4.37705167
  0.0790  131.69780223 -4.30307529
  0.0800  134.67104091 -4.23718316
  0.0810  137.62452525 -4.17906296
  0.0820  140.55669835 -4.12839609
  0.0830  143.46601620 -4.08487075
  0.0840  146.35094848 -4.04819032
  0.0850  149.20997946 -4.01807853
  0.0860  152.04160876 -3.99428225
  0.0870  154.84435224 -3.97657274
  0.0880  157.61674275 -3.96474562
  0.0890  160.35733095 -3.95862023
  0.0900  163.06468608 -3.95803827
  0.0910  165.73739678 -3.96286212
  0.0920  168.37407178 -3.97297283
  0.0930  170.97334070 -3.98826780
  0.0940  173.53385478 -4.00865827
  0.0950  176.05428758 -4.03406644
  0.0960  178.53333569 -4.06442243
  0.0970  180.96971944 -4.09966074
  0.0980  183.36218358 -4.13971645
  0.0990  185.70949789 -4.18452086
  0.1000  188.01045790 -4.23399668
  0.1010  190.26388547 -4.28805255
  0.1020  192.46862943 -4.34657704
  0.1030  194.62356613 -4.40943190
  0.1040  196.72760010 -4.47644467
  0.1050  198.77966451 -4.54740077
  0.1060  200.77872181 -4.62203508
  0.1070  202.72376418 -4.70002326
  0.1080  204.61381408 -4.78097320
  0.1090  206.44792473 -4.86441703
  0.1100  208.22518054 -4.94980433
  0.1110  209.94469764 -5.03649729
  0.1120  211.60562420 -5.12376871
  0.1130  213.20714094 -5.21080393
  0.1140  214.74846146 -5.29670759
  0.1150  216.22883261 -5.38051611
  0.1160  217.64753489 -5.46121659
  0.1170  219.00388270 -5.53777211
  0.1180  220.29722470 -5.60915308
  0.1190  221.52694408 -5.67437337
  0.1200  222.69245883 -5.73252908
  0.1210  223.79322197 -5.78283747
  0.1220  224.82872177 -5.82467272
  0.1230  225.79848198 -5.85759537
  0.1240  226.70206197 -5.88137284
  0.1250  227.53905692 -5.89598873
  0.1260  228.30909793 -5.90164036
  0.1270  229.01185215 -5.89872486
  0.1280  229.64702286 -5.88781538
  0.1290  230.21434957 -5.86962995
  0.1300  230.71360802 -5.84499604
  0.1310  231.14461025 -5.81481369
  0.1320  231.50720461 -5.78002002
  0.1330  231.80127570 -5.74155732
  0.1340  232.02674439 -5.70034594
  0.1350  232.18356771 -5.65726286
  0.1360  232.27173881 -5.61312602
  0.1370  232.29128686 -5.56868394
  0.1380  232.24227691 -5.52461009
  0.1390  232.12480976 -5.48150117
  0.1400  231.93902181 -5.43987834
  0.1410  231.68508485 -5.40019065
  0.1420  231.36320590 -5.36281997
  0.1430  230.97362696 -5.32808674
  0.1440  230.51662478 -5.29625609
  0.1450  229.99251059 -5.26754397
  0.1460  229.40162984 -5.24212306
  0.1470  228.74436192 -5.22012815
  0.1480  228.02111977 -5.20166108
  0.1490  227.23234963 -5.18679501
  0.1500  226.37853065 -5.17557804
  0.1510  225.46017452 -5.16803626
  0.1520  224.47782509 -5.16417616
  0.1530  223.43205798 -5.16398641
  0.1540  222.32348013 -5.16743918
  0.1550  221.15272937 -5.17449088
  0.1560  219.92047402 -5.18508243
  0.1570  218.62741233 -5.19913913
  0.1580  217.27427209 -5.21657011
  0.1590  215.86181007 -5.23726745
  0.1600  214.39081152 -5.26110495
  0.1610  212.86208969 -5.28793668
  0.1620  211.27648521 -5.31759539
  0.1630  209.63486560 -5.34989068
  0.1640  207.93812470 -5.38460728
  0.1650  206.18718206 -5.42150330
  0.1660  204.38298237 -5.46030875
  0.1670  202.52649486 -5.50072434
  0.1680  200.61871268 -5.54242083
  0.1690  198.66065230 -5.58503898
  0.1700  196.65335284 -5.62819039
  0.1710  194.59787544 -5.67145934
  0.1720  192.49530264 -5.71440580
  0.1730  190.34673767 -5.75656974
  0.1740  188.15330381 -5.79747688
  0.1750  185.91614370 -5.83664570
  0.1760  183.63641867 -5.87359596
  0.1770  181.31530803 -5.90785821
  0.1780  178.95400838 -5.93898424
  0.1790  176.55373290 -5.96655801
  0.1800  174.11571065 -5.99020651
  0.1810  171.64118583 -6.00961019
  0.1820  169.13141710 -6.02451219
  0.1830  166.58767681 -6.03472594
  0.1840  164.01125029 -6.04014068
  0.1850  161.40343511 -6.04072452
  0.1860  158.76554038 -6.03652478
  0.1870  156.09888594 -6.02766573
  0.1880  153.40480168 -6.01434377
  0.1890  150.68462678 -5.99682046
  0.1900  147.93970895 -5.97541374
  0.1910  145.17140370 -5.95048796
  0.1920  142.38107358 -5.92244324
  0.1930  139.57008746 -5.89170464
  0.1940  136.73981975 -5.85871176
  0.1950  133.89164969 -5.82390903
  0.1960  131.02696055 -5.78773704
  0.1970  128.14713896 -5.75062513
  0.1980  125.25357411 -5.71298533
  0.1990  122.34765704 -5.67520761
  0.2000  119.43077991 -5.63765644
  0.2010  116.50433522 -5.60066853
  0.2020  113.56971513 -5.56455154
  0.2030  110.62831072 -5.52958376
  0.2040  107.68151125 -5.49601446
  0.2050  104.73070346 -5.46406474
  0.2060  101.77727086 -5.43392888
  0.2070  98.82259299 -5.40577589
  0.2080  95.86804476 -5.37975127
  0.2090  92.91499572 -5.35597888
  0.2100  89.96480938 -5.33456272
  0.2110  87.01884253 -5.31558878
  0.2120  84.07844456 -5.29912668
  0.2130  81.14495677 -5.28523128
  0.2140  78.21971174 -5.27394412
  0.2150  75.30403263 -5.26529464
  0.2160  72.39923260 -5.25930133
  0.2170  69.50661407 -5.25597269
  0.2180  66.62746818 -5.25530795
  0.2190  63.76307412 -5.25729778
  0.2200  60.91469852 -5.26192469
  0.2210  58.08359486 -5.26916340
  0.2220  55.27100284 -5.27898103
  0.2230  52.47814785 -5.29133716
  0.2240  49.70624032 -5.30618380
  0.2250  46.95647524 -5.32346519
  0.2260  44.23003151 -5.34311757
  0.2270  41.52807147 -5.36506873
  0.2280  38.85174035 -5.38923760
  0.2290  36.20216569 -5.41553352
  0.2300  33.58045693 -5.44385552
  0.2310  30.98770481 -5.47409122
  0.2320  28.42498095 -5.50611550
  0.2330  25.89333737 -5.53978848
  0.2340  23.39380600 -5.57495256
  0.2350  20.92739827 -5.61142768
  0.2360  18.49510470 -5.64900313
  0.2370  16.09789454 -5.68742263
  0.2380  13.73671541 -5.72635472
  0.2390  11.41249322 -5.76532875
  0.2400  9.12613231 -5.80357863
  0.2410  6.87851687 -5.83959289
  0.2420  4.67051706 -5.86943800
  0.2430  2.50302836 -5.87673813
  0.2440  0.37833702 -5.53401161
  0.2450  1.70850289 6.16608708
  0.2460  3.74987350 6.14123660
  0.2470  5.74790924 6.16443745
  0.2480  7.70176708 6.19709286
  0.2490  9.61074127 6.23267548
  0.2500  11.47416764 6.26906727
  0.2510  13.29141231 6.30532512
  0.2520  15.06186921 6.34093739
  0.2530  16.78495948 6.37558841
  0.2540  18.46013129 6.40906781
  0.2550  20.08685989 6.44123040
  0.2560  21.66464772 6.47197637
  0.2570  23.19302452 6.50124051
  0.2580  24.67154747 6.52898562
  0.2590  26.09980128 6.55519798
  0.2600  27.47739830 6.57988377
  0.2610  28.80397863 6.60306600
  0.2620  30.07921022 6.62478162
  0.2630  31.30278886 6.64507868
  0.2640  32.47443834 6.66401353
  0.2650  33.59391042 6.68164807
  0.2660  34.66098487 6.69804698
  0.2670  35.67546951 6.71327507
  0.2680  36.63720015 6.72739465
  0.2690  37.54604064 6.74046313
  0.2700  38.40188281 6.75253072
  0.2710  39.20464640 6.76363832
  0.2720  39.95427905 6.77381566
  0.2730  40.65075617 6.78307969
  0.2740  41.29408091 6.79143321
  0.2750  41.88428400 6.79886376
  0.2760  42.42142369 6.80534290
  0.2770  42.90558555 6.81082574
  0.2780  43.33688241 6.81525079
  0.2790  43.71545410 6.81854024
  0.2800  44.04146739 6.82060050
  0.2810  44.31511569 6.82132324
  0.2820  44.53661893 6.82058667
  0.2830  44.70622332 6.81825736
  0.2840  44.82420110 6.81419229
  0.2850  44.89085035 6.80824140
  0.2860  44.90649467 6.80025041
  0.2870  44.87148296 6.79006390
  0.2880  44.78618914 6.77752879
  0.2890  44.65101183 6.76249782
  0.2900  44.46637404 6.74483325
  0.2910  44.23272290 6.72441050
  0.2920  43.95052928 6.70112171
  0.2930  43.62028745 6.67487908
  0.2940  43.24251477 6.64561781
  0.2950  42.81775127 6.61329870
  0.2960  42.34655930 6.57791010
  0.2970  41.82952314 6.53946932
  0.2980  41.26724861 6.49802326
  0.2990  40.66036260 6.45364840
  0.3000  40.00951275 6.40645003
  0.3010  39.31536691 6.35656080
  0.3020  38.57861279 6.30413859
  0.3030  37.79995743 6.24936390
  0.3040  36.98012682 6.19243670
  0.3050  36.11986535 6.13357298
  0.3060  35.21993537 6.07300111
  0.3070  34.28111673 6.01095798
  0.3080  33.30420622 5.94768534
  0.3090  32.29001712 5.88342604
  0.3100  31.23937866 5.81842063
  0.3110  30.15313553 5.75290413
  0.3120  29.03214732 5.68710312
  0.3130  27.87728802 5.62123313
  0.3140  26.68944549 5.55549634
  0.3150  25.46952089 5.49007948
  0.3160  24.21842820 5.42515197
  0.3170  22.93709363 5.36086406
  0.3180  21.62645513 5.29734490
  0.3190  20.28746184 5.23470014
  0.3200  18.92107361 5.17300882
  0.3210  17.52826055 5.11231866
  0.3220  16.11000260 5.05263879
  0.3230  14.66728929 4.99392769
  0.3240  13.20111962 4.93607236
  0.3250  11.71250243 4.87885058
  0.3260  10.20245763 4.82185813
  0.3270  8.67201935 4.76435713
  0.3280  7.12224426 4.70492538
  0.3290  5.55423526 4.64052004
  0.3300  3.96922438 4.56338139
  0.3310  2.36899821 4.44639524
  0.3320  0.76179068 4.09084902
  0.3330  0.89769635 -5.29487312
  0.3340  2.53437143 -4.74533688
  0.3350  4.18969207 -4.61954442
  0.3360  5.85713622 -4.54854686
  0.3370  7.53499799 -4.49630264
  0.3380  9.22204818 -4.45333223
  0.3390  10.91717097 -4.41604174
  0.3400  12.61928995 -4.38275567
  0.3410  14.32734648 -4.35257642
  0.3420  16.04029205 -4.32497040
  0.3430  17.75708532 -4.29959273
  0.3440  19.47669097 -4.27620403
  0.3450  21.19807937 -4.25462764
  0.3460  22.92022668 -4.23472592
  0.3470  24.64211509 -4.21638658
  0.3480  26.36273320 -4.19951424
  0.3490  28.08107648 -4.18402527
  0.3500  29.79614769 -4.16984429
  0.3510  31.50695742 -4.15690197
  0.3520  33.21252451 -4.14513344
  0.3530  34.91187660 -4.13447727
  0.3540  36.60405063 -4.12487470
  0.3550  38.28809328 -4.11626914
  0.3560  39.96306150 -4.10860584
  0.3570  41.62802296 -4.10183162
  0.3580  43.28205654 -4.09589472
  0.3590  44.92425279 -4.09074472
  0.3600  46.55371440 -4.08633248
  0.3610  48.16955659 -4.08261016
  0.3620  49.77090763 -4.07953122
  0.3630  51.35690921 -4.07705045
  0.3640  52.92671686 -4.07512407
  0.3650  54.47950037 -4.07370979
  0.3660  56.01444421 -4.07276689
  0.3670  57.53074784 -4.07225629
  0.3680  59.02762618 -4.07214070
  0.3690  60.50430989 -4.07238465
  0.3700  61.96004576 -4.07295461
  0.3710  63.39409705 -4.07381908
  0.3720  64.80574380 -4.07494866
  0.3730  66.19428315 -4.07631609
  0.3740  67.55902966 -4.07789635
  0.3750  68.89931555 -4.07966666
  0.3760  70.21449103 -4.08160652
  0.3770  71.50392455 -4.08369773
  0.3780  72.76700302 -4.08592435
  0.3790  74.00313210 -4.08827268
  0.3800  75.21173637 -4.09073123
  0.3810  76.39225958 -4.09329063
