fitness from FF 13.4622750651
gamma1_1 0.0 0.01529 0.00133 -0.01529
gamma1_2 0.0 0.01265 0.00128 -0.01265
gamma1_3 0.0 0.01194 0.00123 -0.01194
gamma2_1 0.0 0.01559 0.00126 -0.01559
gamma2_2 0.0 0.01389 0.00133 -0.01389
gamma2_3 0.0 0.01199 0.00129 -0.01199
gamma3_1 0.0 0.01352 0.0012 -0.01352
gamma3_2 0.0 0.01529 0.00125 -0.01529
gamma3_3 0.0 0.01564 0.00123 -0.01564
beta1 -0.033347 -0.02074 0.00225 -0.012607
beta2 -0.033347 -0.03748 0.00217 0.004132999999999998
alpha1 0.0442218 0.059 0.00245 -0.014778199999999998
alpha2 0.0442218 0.04837 0.00275 -0.004148200000000005
g3_1 -0.202446 0.01743 0.00791 -0.219876
g3_2 -0.202446 0.07036 0.00765 -0.272806
g2_1 -0.231022 -0.00468 0.00822 -0.22634200000000002
g1_1 0.0 -0.0371 0.00782 0.0371
palmitoyl_C2a -0.281558 -0.29731 0.00289 0.015752000000000044
palmitoyl_C2b -0.281558 -0.29444 0.00298 0.012882000000000005
palmitoyl_C3a -0.311337 -0.30089 0.00244 -0.010446999999999984
palmitoyl_C3b -0.311337 -0.30494 0.00245 -0.006396999999999986
palmitoyl_C4a -0.346893 -0.35773 0.00158 0.010836999999999986
palmitoyl_C4b -0.346893 -0.35659 0.00171 0.009697000000000011
palmitoyl_C5a -0.363785 -0.37512 0.0014 0.011334999999999984
palmitoyl_C5b -0.363785 -0.37554 0.00134 0.01175499999999996
palmitoyl_C6a -0.383779 -0.39255 0.00109 0.008771000000000029
palmitoyl_C6b -0.383779 -0.39218 0.00106 0.008400999999999992
palmitoyl_C7a -0.383779 -0.39441 0.00101 0.010631000000000002
palmitoyl_C7b -0.383779 -0.39533 0.001 0.011551000000000033
palmitoyl_C8a -0.370894 -0.39267 0.00093 0.021776000000000018
palmitoyl_C8b -0.370894 -0.3919 0.00094 0.021006000000000025
palmitoyl_C9a -0.35267 -0.37874 0.00104 0.026070000000000038
palmitoyl_C9b -0.35267 -0.3791 0.00102 0.02643000000000001
palmitoyl_C10a -0.336669 -0.36316 0.00113 0.026490999999999987
palmitoyl_C10b -0.336669 -0.36414 0.00113 0.027471000000000023
palmitoyl_C11a -0.297559 -0.33785 0.00141 0.040290999999999966
palmitoyl_C11b -0.297559 -0.3386 0.0014 0.041040999999999994
palmitoyl_C12a -0.256226 -0.31314 0.00153 0.056913999999999965
palmitoyl_C12b -0.256226 -0.31289 0.00158 0.05666399999999999
palmitoyl_C13a -0.256226 -0.27445 0.00182 0.018224000000000018
palmitoyl_C13b -0.256226 -0.27519 0.00181 0.01896399999999998
palmitoyl_C14a -0.210446 -0.23111 0.00173 0.020664000000000016
palmitoyl_C14b -0.210446 -0.23042 0.00182 0.01997400000000002
palmitoyl_C15a -0.149558 -0.16335 0.00165 0.013791999999999999
palmitoyl_C15b -0.149558 -0.16369 0.0017 0.014132000000000006
palmitoyl_C16a -0.0442218 -0.04872 0.00093 0.004498200000000001
palmitoyl_C16b -0.0442218 -0.04797 0.00096 0.0037482
palmitoyl_C16c -0.0442218 -0.04795 0.00094 0.003728200000000001
oleoyl_C2a -0.101556 -0.18109 0.00533 0.07953400000000001
oleoyl_C2b -0.196669 -0.18467 0.00444 -0.01199900000000001
oleoyl_C3a -0.311337 -0.28071 0.00323 -0.03062699999999996
oleoyl_C3b -0.311337 -0.24754 0.00363 -0.06379699999999996
oleoyl_C4a -0.317114 -0.29714 0.00289 -0.019973999999999992
oleoyl_C4b -0.317114 -0.29714 0.00292 -0.019973999999999992
oleoyl_C5a -0.351339 -0.33534 0.00234 -0.015998999999999985
oleoyl_C5b -0.351339 -0.33434 0.00241 -0.016998999999999986
oleoyl_C6a -0.351339 -0.33557 0.00225 -0.015769000000000033
oleoyl_C6b -0.351339 -0.33655 0.00221 -0.014788999999999997
oleoyl_C7a -0.329561 -0.3374 0.00199 0.007838999999999985
oleoyl_C7b -0.329561 -0.33793 0.00195 0.008369000000000015
oleoyl_C8a -0.25978 -0.26189 0.0024 0.0021100000000000008
oleoyl_C8b -0.25978 -0.26407 0.00229 0.004290000000000016
oleoyl_C9a -0.208223 -0.17511 0.00284 -0.033113000000000004
oleoyl_C10a -0.0704462 -0.08884 0.00335 0.018393800000000002
oleoyl_C11a -0.174891 -0.21523 0.00216 0.040339000000000014
oleoyl_C11b -0.174891 -0.21598 0.00216 0.041089000000000014
oleoyl_C12a -0.254003 -0.29303 0.00168 0.039027000000000034
oleoyl_C12b -0.254003 -0.29269 0.00176 0.03868700000000003
oleoyl_C13a -0.265557 -0.28991 0.00193 0.024353000000000014
oleoyl_C13b -0.265557 -0.28998 0.00194 0.024423000000000028
oleoyl_C14a -0.248225 -0.29004 0.0019 0.04181500000000002
oleoyl_C14b -0.248225 -0.29004 0.00189 0.04181500000000002
oleoyl_C15a -0.226447 -0.25251 0.00213 0.026063000000000003
oleoyl_C15b -0.226447 -0.25412 0.00217 0.027673000000000003
oleoyl_C16a -0.210446 -0.2242 0.00205 0.013754000000000016
oleoyl_C16b -0.210446 -0.22508 0.00208 0.014634000000000008
oleoyl_C17a -0.149558 -0.15059 0.002 0.0010320000000000051
oleoyl_C17b -0.149558 -0.15039 0.00203 0.0008319999999999994
oleoyl_C18a -0.0442218 -0.0572 0.00115 0.012978200000000002
oleoyl_C18b -0.0442218 -0.06116 0.00115 0.0169382
oleoyl_C18c -0.0442218 -0.06115 0.0011 0.016928200000000004
fitness from headgr 0.012976059306
fitness from glys 0.209389397998
fitness from headgr+glys 0.102200666359
fitness from sn1 0.0233485843183
fitness from sn2 0.0293830574023
fitness from all OPs 0.0521437339977
