#Experimental scattering data measured and shared by Georg Pabst and Peter Heftberger originally at
#http://nmrlipids.blogspot.com/p/about.html
#https://drive.google.com/folderview?id=0BypC9VEx1ib_flRzLTlsVFE1VG9PTjhCMVdROWFrVXpQb2Z3eXlsZXhsaUJSR2RucmNkenc&usp=sharing
#q[1/A]     |F(q)|[e/A^2]
     0.06519090            0.9503274
     0.06620710            0.9909296
     0.06722350             1.031648
     0.06823970             1.072453
     0.06925590             1.113331
     0.07027210             1.154262
     0.07128830             1.195228
     0.07230450             1.236204
     0.07332070             1.277173
     0.07433700             1.318115
     0.07535320             1.359015
     0.07636940             1.399845
     0.07738560             1.440589
     0.07840190             1.481230
     0.07941820             1.521747
     0.08043440             1.562118
     0.08145060             1.602327
     0.08246680             1.642355
     0.08348300             1.682182
     0.08449920             1.721788
     0.08551540             1.761155
     0.08653180             1.800269
     0.08754800             1.839103
     0.08856420             1.877644
     0.08958030             1.915873
     0.09059670             1.953777
     0.09161290             1.991329
     0.09262910             2.028517
     0.09364530             2.065325
     0.09466150             2.101734
     0.09567770             2.137726
     0.09669390             2.173286
     0.09771020             2.208399
     0.09872650             2.243048
     0.09974270             2.277215
      0.1007590             2.310891
      0.1017750             2.344045
      0.1027910             2.376674
      0.1038080             2.408793
      0.1048240             2.440327
      0.1058400             2.471292
      0.1068560             2.501675
      0.1078725             2.531476
      0.1088890             2.560669
      0.1099050             2.589226
      0.1109210             2.617150
      0.1119370             2.644427
      0.1129540             2.671073
      0.1139700             2.697025
      0.1149860             2.722296
      0.1160020             2.746878
      0.1170185             2.770770
      0.1180350             2.793952
      0.1190510             2.816402
      0.1200670             2.838125
      0.1210830             2.859108
      0.1221000             2.879366
      0.1231160             2.898850
      0.1241320             2.917572
      0.1251480             2.935527
      0.1261645             2.952715
      0.1271810             2.969120
      0.1281970             2.984730
      0.1292130             2.999547
      0.1302295             3.013573
      0.1312460             3.026795
      0.1322620             3.039204
      0.1332780             3.050802
      0.1342940             3.061587
      0.1353110             3.071563
      0.1363270             3.080710
      0.1373430             3.089034
      0.1383590             3.096535
      0.1393755             3.103215
      0.1403920             3.109067
      0.1414080             3.114089
      0.1424240             3.118285
      0.1434400             3.121655
      0.1444570             3.124201
      0.1454730             3.125920
      0.1464890             3.126816
      0.1475050             3.126890
      0.1485215             3.126146
      0.1495380             3.124584
      0.1505540             3.122211
      0.1515700             3.119028
      0.1525860             3.115039
      0.1536030             3.110244
      0.1546190             3.104657
      0.1556350             3.098279
      0.1566510             3.091115
      0.1576680             3.083162
      0.1586840             3.074443
      0.1597000             3.064956
      0.1607160             3.054709
      0.1617325             3.043703
      0.1627490             3.031950
      0.1637650             3.019465
      0.1647810             3.006251
      0.1657970             2.992316
      0.1668140             2.977654
      0.1678300             2.962304
      0.1688460             2.946260
      0.1698620             2.929534
      0.1708785             2.912125
      0.1718950             2.894054
      0.1729110             2.875339
      0.1739270             2.855984
      0.1749430             2.835999
      0.1759600             2.815375
      0.1769760             2.794166
      0.1779920             2.772363
      0.1790080             2.749978
      0.1800245             2.727013
      0.1810410             2.703490
      0.1820570             2.679437
      0.1830730             2.654854
      0.1840890             2.629755
      0.1851060             2.604126
      0.1861220             2.578035
      0.1871380             2.551468
      0.1881540             2.524441
      0.1891710             2.496940
      0.1901870             2.469033
      0.1912030             2.440711
      0.1922190             2.411986
      0.1932355             2.382859
      0.1942520             2.353360
      0.1952680             2.323518
      0.1962840             2.293335
      0.1973000             2.262825
      0.1983170             2.231973
      0.1993330             2.200858
      0.2003490             2.169462
      0.2013650             2.137803
      0.2023815             2.105879
      0.2033980             2.073724
      0.2044140             2.041367
      0.2054300             2.008810
      0.2064460             1.976068
      0.2074630             1.943125
      0.2084790             1.910061
      0.2094950             1.876861
      0.2105110             1.843539
      0.2115275             1.810097
      0.2125440             1.776564
      0.2135600             1.742975
      0.2145760             1.709327
      0.2155925             1.675621
      0.2166090             1.641890
      0.2176250             1.608163
      0.2186410             1.574441
      0.2196570             1.540740
      0.2206740             1.507041
      0.2216900             1.473425
      0.2227060             1.439876
      0.2237220             1.406407
      0.2247385             1.373017
      0.2257550             1.339737
      0.2267710             1.306599
      0.2277870             1.273600
      0.2288030             1.240755
      0.2298200             1.208046
      0.2308360             1.175549
      0.2318520             1.143250
      0.2328680             1.111159
      0.2338845             1.079274
      0.2349010             1.047626
      0.2359170             1.016242
      0.2369330            0.9851198
      0.2379490            0.9542716
      0.2389660            0.9236799
      0.2399820            0.8934178
      0.2409980            0.8634658
      0.2420140            0.8338363
      0.2430310            0.8045118
      0.2440470            0.7755617
      0.2450630            0.7469673
      0.2460790            0.7187406
      0.2470955            0.6908770
      0.2481120            0.6634017
      0.2491280            0.6363368
      0.2501440            0.6096793
      0.2511600            0.5834383
      0.2521770            0.5575978
      0.2531930            0.5322182
      0.2542090            0.5072803
      0.2552250            0.4827951
      0.2562415            0.4587570
      0.2572580            0.4351866
      0.2582740            0.4121028
      0.2592900            0.3894997
      0.2603060            0.3673860
      0.2613230            0.3457459
      0.2623390            0.3246289
      0.2633550            0.3040188
      0.2643710            0.2839211
      0.2653875            0.2643326
      0.2664040            0.2452672
      0.2674200            0.2267397
      0.2684360            0.2087434
      0.2694525            0.1912754
      0.2704690            0.1743479
      0.2714850            0.1579728
      0.2725010            0.1421439
      0.2735170            0.1268641
      0.2745340            0.1121231
      0.2755500           0.09794999
      0.2765660           0.08433326
      0.2775820           0.07127482
      0.2785985           0.05876904
      0.2796150           0.04682307
      0.2806310           0.03544432
      0.2816470           0.02462722
      0.2826630           0.01437011
      0.2836800          0.004669047
      0.2846960          0.004472136
      0.2857120           0.01304224
      0.2867280           0.02105944
      0.2877445           0.02852017
      0.2887610           0.03542739
      0.2897770           0.04177559
      0.2907930           0.04757415
      0.2918090           0.05282234
      0.2928260           0.05752913
      0.2938420           0.06168874
      0.2948580           0.06530850
      0.2958740           0.06839152
      0.2968910           0.07094505
      0.2979070           0.07296780
      0.2989230           0.07446610
      0.2999390           0.07544535
      0.3009555           0.07591113
      0.3019720           0.07586699
      0.3029880           0.07531799
      0.3040040           0.07427113
      0.3050200           0.07273170
      0.3060370           0.07070361
      0.3070530           0.06819751
      0.3080690           0.06521656
      0.3090850           0.06176892
      0.3101015           0.05785845
      0.3111180           0.05349486
      0.3121340           0.04868675
      0.3131500           0.04344077
      0.3141660           0.03776241
      0.3151830           0.03165438
      0.3161990           0.02513762
      0.3172150           0.01821538
      0.3182310           0.01089036
      0.3192475          0.003178050
      0.3202640          0.004929503
      0.3212800           0.01339403
      0.3222960           0.02222836
      0.3233125           0.03141974
      0.3243290           0.04095973
      0.3253450           0.05083306
      0.3263610           0.06103278
      0.3273770           0.07155068
      0.3283940           0.08238871
      0.3294100           0.09351470
      0.3304260            0.1049305
      0.3314420            0.1166255
      0.3324585            0.1285963
      0.3334750            0.1408265
      0.3344910            0.1533013
      0.3355070            0.1660148
      0.3365230            0.1789587
      0.3375400            0.1921343
      0.3385560            0.2055064
      0.3395720            0.2190778
      0.3405880            0.2328371
      0.3416045            0.2467819
      0.3426210            0.2608950
      0.3436370            0.2751583
      0.3446530            0.2895700
      0.3456690            0.3041177
      0.3466860            0.3188072
      0.3477020            0.3335984
      0.3487180            0.3484960
      0.3497340            0.3634899
      0.3507510            0.3785841
      0.3517670            0.3937385
      0.3527830            0.4089583
      0.3537990            0.4242338
      0.3548155            0.4395624
      0.3558320            0.4549255
      0.3568480            0.4703067
      0.3578640            0.4857032
      0.3588800            0.5011058
      0.3598970            0.5165190
      0.3609130            0.5319036
      0.3619290            0.5472654
      0.3629450            0.5625939
      0.3639615            0.5778884
      0.3649780            0.5931312
      0.3659940            0.6083070
      0.3670100            0.6234127
      0.3680260            0.6384401
      0.3690430            0.6533960
      0.3700590            0.6682412
      0.3710750            0.6829815
      0.3720910            0.6976092
      0.3731075            0.7121235
      0.3741240            0.7265084
      0.3751400            0.7407495
      0.3761560            0.7548450
      0.3771725            0.7687951
      0.3781890            0.7825848
      0.3792050            0.7961999
      0.3802210            0.8096408
      0.3812370            0.8228992
      0.3822540            0.8359815
      0.3832700            0.8488556
      0.3842860            0.8615281
      0.3853020            0.8739921
      0.3863185            0.8862463
      0.3873350            0.8982801
      0.3883510            0.9100812
      0.3893670            0.9216504
      0.3903830            0.9329811
      0.3914000            0.9440800
      0.3924160            0.9549190
      0.3934320            0.9655048
      0.3944480            0.9758326
      0.3954645            0.9859027
      0.3964810            0.9957054
      0.3974970             1.005232
      0.3985130             1.014483
      0.3995290             1.023455
