fitness from FF 12.6105645793
gamma1_1 0.0 0.01018 0.00113 -0.01018
gamma1_2 0.0 0.01048 0.00123 -0.01048
gamma1_3 0.0 0.00831 0.00109 -0.00831
gamma2_1 0.0 0.00738 0.00123 -0.00738
gamma2_2 0.0 0.01036 0.00113 -0.01036
gamma2_3 0.0 0.00967 0.00118 -0.00967
gamma3_1 0.0 0.0102 0.0012 -0.0102
gamma3_2 0.0 0.01115 0.00114 -0.01115
gamma3_3 0.0 0.00919 0.00116 -0.00919
beta1 -0.033347 -0.05079 0.00167 0.017443
beta2 -0.033347 -0.05412 0.00187 0.020773
alpha1 0.0442218 0.03776 0.00202 0.006461799999999997
alpha2 0.0442218 0.03946 0.00194 0.004761799999999997
g3_1 -0.202446 -0.16986 0.00598 -0.032585999999999976
g3_2 -0.202446 -0.19192 0.00453 -0.01052599999999998
g2_1 -0.231022 -0.19338 0.00492 -0.03764200000000001
g1_1 0.0 -0.17041 0.00608 0.17041
palmitoyl_C2a -0.281558 -0.29354 0.00288 0.011982000000000048
palmitoyl_C2b -0.281558 -0.27852 0.00328 -0.003037999999999985
palmitoyl_C3a -0.311337 -0.30358 0.00194 -0.007756999999999958
palmitoyl_C3b -0.311337 -0.29213 0.00211 -0.019206999999999974
palmitoyl_C4a -0.346893 -0.34765 0.00154 0.0007570000000000077
palmitoyl_C4b -0.346893 -0.34503 0.00158 -0.0018630000000000035
palmitoyl_C5a -0.363785 -0.37077 0.00135 0.0069849999999999635
palmitoyl_C5b -0.363785 -0.3695 0.00145 0.00571499999999997
palmitoyl_C6a -0.383779 -0.38719 0.00115 0.0034109999999999974
palmitoyl_C6b -0.383779 -0.38635 0.00118 0.0025710000000000455
palmitoyl_C7a -0.383779 -0.39008 0.00101 0.006301000000000001
palmitoyl_C7b -0.383779 -0.38945 0.001 0.005671000000000037
palmitoyl_C8a -0.370894 -0.38737 0.00092 0.01647599999999999
palmitoyl_C8b -0.370894 -0.38798 0.00091 0.01708599999999999
palmitoyl_C9a -0.35267 -0.37512 0.00097 0.022450000000000025
palmitoyl_C9b -0.35267 -0.37456 0.00096 0.02189000000000002
palmitoyl_C10a -0.336669 -0.3599 0.00111 0.023231
palmitoyl_C10b -0.336669 -0.35994 0.00105 0.023270999999999986
palmitoyl_C11a -0.297559 -0.33538 0.00134 0.037820999999999994
palmitoyl_C11b -0.297559 -0.33479 0.0013 0.03723099999999996
palmitoyl_C12a -0.256226 -0.31136 0.00153 0.055134000000000016
palmitoyl_C12b -0.256226 -0.31075 0.00151 0.05452400000000002
palmitoyl_C13a -0.256226 -0.27644 0.00168 0.02021400000000001
palmitoyl_C13b -0.256226 -0.27543 0.00177 0.019204
palmitoyl_C14a -0.210446 -0.23645 0.00172 0.026004
palmitoyl_C14b -0.210446 -0.236 0.00173 0.025553999999999993
palmitoyl_C15a -0.149558 -0.17572 0.00164 0.02616199999999999
palmitoyl_C15b -0.149558 -0.17374 0.00161 0.02418200000000001
palmitoyl_C16a -0.0442218 -0.05389 0.00112 0.009668200000000002
palmitoyl_C16b -0.0442218 -0.0529 0.00107 0.008678200000000004
palmitoyl_C16c -0.0442218 -0.05189 0.00117 0.0076682
oleoyl_C2a -0.101556 -0.09039 0.00535 -0.011165999999999995
oleoyl_C2b -0.196669 -0.15947 0.00351 -0.03719900000000001
oleoyl_C3a -0.311337 -0.28909 0.00228 -0.02224699999999996
oleoyl_C3b -0.311337 -0.28953 0.00222 -0.021806999999999965
oleoyl_C4a -0.317114 -0.30821 0.00205 -0.008904000000000023
oleoyl_C4b -0.317114 -0.3093 0.00189 -0.007813999999999988
oleoyl_C5a -0.351339 -0.34298 0.00167 -0.008359000000000005
oleoyl_C5b -0.351339 -0.34129 0.00165 -0.01004900000000003
oleoyl_C6a -0.351339 -0.3352 0.00162 -0.016139000000000014
oleoyl_C6b -0.351339 -0.33466 0.00168 -0.016679
oleoyl_C7a -0.329561 -0.32388 0.00157 -0.005680999999999992
oleoyl_C7b -0.329561 -0.32363 0.00156 -0.00593100000000002
oleoyl_C8a -0.25978 -0.227 0.00205 -0.032780000000000004
oleoyl_C8b -0.25978 -0.22366 0.00195 -0.03612000000000001
oleoyl_C9a -0.208223 -0.14805 0.00199 -0.060173000000000004
oleoyl_C10a -0.0704462 -0.11095 0.00176 0.04050379999999999
oleoyl_C11a -0.174891 -0.19387 0.00173 0.018978999999999996
oleoyl_C11b -0.174891 -0.19375 0.00184 0.018859000000000015
oleoyl_C12a -0.254003 -0.27593 0.00152 0.02192700000000003
oleoyl_C12b -0.254003 -0.27812 0.00153 0.024117
oleoyl_C13a -0.265557 -0.28665 0.00163 0.02109300000000003
oleoyl_C13b -0.265557 -0.2872 0.00164 0.021643000000000023
oleoyl_C14a -0.248225 -0.28882 0.00173 0.04059500000000002
oleoyl_C14b -0.248225 -0.28798 0.00172 0.03975500000000001
oleoyl_C15a -0.226447 -0.25698 0.00198 0.030532999999999977
oleoyl_C15b -0.226447 -0.25488 0.00198 0.028432999999999986
oleoyl_C16a -0.210446 -0.22858 0.00186 0.01813400000000001
oleoyl_C16b -0.210446 -0.22781 0.00192 0.01736400000000002
oleoyl_C17a -0.149558 -0.16614 0.00187 0.016582000000000013
oleoyl_C17b -0.149558 -0.16481 0.00178 0.015252000000000016
oleoyl_C18a -0.0442218 -0.06422 0.00114 0.0199982
oleoyl_C18b -0.0442218 -0.06411 0.00109 0.0198882
oleoyl_C18c -0.0442218 -0.06373 0.00108 0.019508199999999996
fitness from headgr 0.0112689013064
fitness from glys 0.0889229052832
fitness from headgr+glys 0.0442452909508
fitness from sn1 0.0225888098872
fitness from sn2 0.0252331324111
fitness from all OPs 0.0292402421623
fitness OPs+FF 12.6398048215
