Atom_name  Hydrogen	OP	      STD	   STDmean
     C2	      HR     0.00473	   0.45240	   0.00023
       	      HS    -0.08032	   0.42009	   0.00022
       	     AVG    -0.03779	   0.25419	   0.00013

     C3	      HR     0.09782	   0.47033	   0.00024
       	     AVG     0.09782	   0.47033	   0.00024

     C6	      HR     0.10737	   0.46851	   0.00024
       	      HS     0.16472	   0.48269	   0.00025
       	     AVG     0.13605	   0.24652	   0.00013

    C12	      HR    -0.31816	   0.22446	   0.00012
       	      HS    -0.21309	   0.31279	   0.00016
       	     AVG    -0.26562	   0.18825	   0.00010

    C13	      HR    -0.19188	   0.32172	   0.00017
       	     AVG    -0.19188	   0.32172	   0.00017

    C32	      HR     0.18034	   0.50664	   0.00026
       	      HS     0.09203	   0.42291	   0.00022
       	     AVG     0.13618	   0.23922	   0.00012

