Atom_name  Hydrogen	OP	      STD	   STDmean
     C1	      HR    -0.00527	   0.44673	   0.00024
       	      HS     0.01019	   0.44233	   0.00024
       	      HT    -0.00074	   0.44676	   0.00024
       	     AVG     0.00139	   0.16889	   0.00009

     C2	      HR    -0.00266	   0.44958	   0.00024
       	      HS    -0.00070	   0.44806	   0.00024
       	      HT     0.01068	   0.44166	   0.00024
       	     AVG     0.00244	   0.16802	   0.00009

     C3	      HR    -0.00256	   0.44942	   0.00024
       	      HS     0.01016	   0.44149	   0.00024
       	      HT    -0.00394	   0.44530	   0.00024
       	     AVG     0.00122	   0.16849	   0.00009

     C5	      HR     0.06457	   0.47019	   0.00025
       	      HS     0.04295	   0.45847	   0.00025
       	     AVG     0.05376	   0.22533	   0.00012

     C6	      HR     0.11870	   0.46259	   0.00025
       	      HS     0.16033	   0.46927	   0.00025
       	     AVG     0.13952	   0.23386	   0.00012

    C12	      HR    -0.31556	   0.22203	   0.00012
       	      HS    -0.22845	   0.31015	   0.00017
       	     AVG    -0.27200	   0.18456	   0.00010

    C13	      HR    -0.20881	   0.31821	   0.00017
       	     AVG    -0.20881	   0.31821	   0.00017

    C32	      HR     0.15987	   0.51378	   0.00027
       	      HS     0.11166	   0.43771	   0.00023
       	     AVG     0.13576	   0.23243	   0.00012

