#Z                    :CA      sd(:CA)
    -43.6250       0.0000       0.0000
    -43.3750       0.0029       0.0304
    -43.1250       0.0230       0.0934
    -42.8750       0.0679       0.1607
    -42.6250       0.1409       0.2296
    -42.3750       0.2885       0.3308
    -42.1250       0.5928       0.4625
    -41.8750       1.0536       0.5949
    -41.6250       1.6575       0.7102
    -41.3750       2.1162       0.7682
    -41.1250       2.4011       0.7970
    -40.8750       2.5966       0.8071
    -40.6250       2.7274       0.8282
    -40.3750       2.7349       0.8211
    -40.1250       2.7347       0.8208
    -39.8750       2.7443       0.8180
    -39.6250       2.7501       0.8254
    -39.3750       2.7272       0.8174
    -39.1250       2.7381       0.8155
    -38.8750       2.7210       0.8131
    -38.6250       2.7011       0.8150
    -38.3750       2.7214       0.8144
    -38.1250       2.7574       0.8206
    -37.8750       2.7406       0.8195
    -37.6250       2.7499       0.8210
    -37.3750       2.7552       0.8231
    -37.1250       2.7823       0.8284
    -36.8750       2.7699       0.8252
    -36.6250       2.7829       0.8262
    -36.3750       2.8025       0.8288
    -36.1250       2.8109       0.8335
    -35.8750       2.8112       0.8253
    -35.6250       2.8152       0.8300
    -35.3750       2.8004       0.8290
    -35.1250       2.8057       0.8310
    -34.8750       2.8200       0.8329
    -34.6250       2.8597       0.8352
    -34.3750       2.8618       0.8372
    -34.1250       2.8467       0.8346
    -33.8750       2.9303       0.8487
    -33.6250       2.9103       0.8494
    -33.3750       2.9713       0.8509
    -33.1250       2.9761       0.8541
    -32.8750       3.0045       0.8588
    -32.6250       2.9936       0.8527
    -32.3750       3.0187       0.8660
    -32.1250       3.0590       0.8603
    -31.8750       3.0583       0.8651
    -31.6250       3.0798       0.8622
    -31.3750       3.0893       0.8721
    -31.1250       3.0839       0.8680
    -30.8750       3.1168       0.8724
    -30.6250       3.1302       0.8725
    -30.3750       3.1128       0.8720
    -30.1250       3.1789       0.8844
    -29.8750       3.1154       0.8665
    -29.6250       3.1506       0.8805
    -29.3750       3.1442       0.8722
    -29.1250       3.1131       0.8691
    -28.8750       3.1483       0.8764
    -28.6250       3.0983       0.8686
    -28.3750       3.0932       0.8708
    -28.1250       3.0877       0.8653
    -27.8750       3.0540       0.8633
    -27.6250       2.9790       0.8496
    -27.3750       2.9325       0.8393
    -27.1250       2.9460       0.8429
    -26.8750       2.9710       0.8525
    -26.6250       3.0640       0.8683
    -26.3750       3.2053       0.8850
    -26.1250       3.3142       0.8907
    -25.8750       3.5449       0.9241
    -25.6250       3.7822       0.9618
    -25.3750       3.9991       0.9840
    -25.1250       4.2954       1.0226
    -24.8750       4.4272       1.0444
    -24.6250       4.6985       1.0861
    -24.3750       4.9810       1.0980
    -24.1250       5.3142       1.1299
    -23.8750       5.5988       1.1682
    -23.6250       5.9694       1.2035
    -23.3750       6.5177       1.2452
    -23.1250       7.1090       1.2995
    -22.8750       7.7465       1.3611
    -22.6250       8.3488       1.4157
    -22.3750       9.0072       1.4695
    -22.1250       9.5834       1.5078
    -21.8750      10.1063       1.5526
    -21.6250      10.4226       1.5722
    -21.3750      10.6212       1.5812
    -21.1250      10.6610       1.5807
    -20.8750      10.5114       1.5921
    -20.6250      10.2732       1.5927
    -20.3750       9.8771       1.5527
    -20.1250       9.3274       1.5081
    -19.8750       8.6940       1.4677
    -19.6250       8.0737       1.3998
    -19.3750       7.2486       1.3119
    -19.1250       6.4857       1.2322
    -18.8750       5.6885       1.1534
    -18.6250       4.9574       1.0883
    -18.3750       4.2479       1.0078
    -18.1250       3.6098       0.9390
    -17.8750       3.0109       0.8575
    -17.6250       2.4970       0.7890
    -17.3750       2.0374       0.7198
    -17.1250       1.6463       0.6490
    -16.8750       1.2911       0.5787
    -16.6250       1.0146       0.5150
    -16.3750       0.7403       0.4396
    -16.1250       0.5391       0.3702
    -15.8750       0.3968       0.3151
    -15.6250       0.2923       0.2704
    -15.3750       0.2088       0.2275
    -15.1250       0.1551       0.1969
    -14.8750       0.1147       0.1700
    -14.6250       0.0714       0.1361
    -14.3750       0.0433       0.1047
    -14.1250       0.0216       0.0736
    -13.8750       0.0113       0.0531
    -13.6250       0.0049       0.0350
    -13.3750       0.0024       0.0245
    -13.1250       0.0027       0.0260
    -12.8750       0.0012       0.0173
    -12.6250       0.0004       0.0100
    -12.3750       0.0002       0.0071
    -12.1250       0.0000       0.0000
    -11.8750       0.0000       0.0000
    -11.6250       0.0000       0.0000
    -11.3750       0.0000       0.0000
    -11.1250       0.0000       0.0000
    -10.8750       0.0000       0.0000
    -10.6250       0.0000       0.0000
    -10.3750       0.0000       0.0000
    -10.1250       0.0000       0.0000
     -9.8750       0.0000       0.0000
     -9.6250       0.0000       0.0000
     -9.3750       0.0000       0.0000
     -9.1250       0.0000       0.0000
     -8.8750       0.0000       0.0000
     -8.6250       0.0000       0.0000
     -8.3750       0.0000       0.0000
     -8.1250       0.0000       0.0000
     -7.8750       0.0000       0.0000
     -7.6250       0.0000       0.0000
     -7.3750       0.0000       0.0000
     -7.1250       0.0000       0.0000
     -6.8750       0.0000       0.0000
     -6.6250       0.0000       0.0000
     -6.3750       0.0000       0.0000
     -6.1250       0.0000       0.0000
     -5.8750       0.0000       0.0000
     -5.6250       0.0000       0.0000
     -5.3750       0.0000       0.0000
     -5.1250       0.0000       0.0000
     -4.8750       0.0000       0.0000
     -4.6250       0.0000       0.0000
     -4.3750       0.0000       0.0000
     -4.1250       0.0000       0.0000
     -3.8750       0.0000       0.0000
     -3.6250       0.0000       0.0000
     -3.3750       0.0000       0.0000
     -3.1250       0.0000       0.0000
     -2.8750       0.0000       0.0000
