#Z                    :CA      sd(:CA)
    -73.1250       0.0000       0.0000
    -72.8750       0.0000       0.0000
    -72.6250       0.0000       0.0000
    -72.3750       0.0000       0.0000
    -72.1250       0.0000       0.0001
    -71.8750       0.0000       0.0001
    -71.6250       0.0000       0.0001
    -71.3750       0.0000       0.0001
    -71.1250       0.0000       0.0001
    -70.8750       0.0000       0.0001
    -70.6250       0.0000       0.0002
    -70.3750       0.0000       0.0002
    -70.1250       0.0001       0.0003
    -69.8750       0.0001       0.0003
    -69.6250       0.0001       0.0004
    -69.3750       0.0002       0.0005
    -69.1250       0.0003       0.0006
    -68.8750       0.0004       0.0007
    -68.6250       0.0004       0.0007
    -68.3750       0.0006       0.0008
    -68.1250       0.0007       0.0009
    -67.8750       0.0009       0.0010
    -67.6250       0.0010       0.0011
    -67.3750       0.0012       0.0011
    -67.1250       0.0014       0.0012
    -66.8750       0.0016       0.0013
    -66.6250       0.0019       0.0014
    -66.3750       0.0022       0.0016
    -66.1250       0.0024       0.0016
    -65.8750       0.0027       0.0017
    -65.6250       0.0029       0.0017
    -65.3750       0.0030       0.0018
    -65.1250       0.0031       0.0018
    -64.8750       0.0033       0.0018
    -64.6250       0.0033       0.0019
    -64.3750       0.0034       0.0019
    -64.1250       0.0036       0.0019
    -63.8750       0.0036       0.0019
    -63.6250       0.0036       0.0020
    -63.3750       0.0037       0.0020
    -63.1250       0.0038       0.0020
    -62.8750       0.0039       0.0020
    -62.6250       0.0042       0.0021
    -62.3750       0.0042       0.0021
    -62.1250       0.0042       0.0021
    -61.8750       0.0043       0.0021
    -61.6250       0.0043       0.0021
    -61.3750       0.0043       0.0021
    -61.1250       0.0041       0.0021
    -60.8750       0.0041       0.0021
    -60.6250       0.0038       0.0020
    -60.3750       0.0038       0.0020
    -60.1250       0.0035       0.0019
    -59.8750       0.0032       0.0018
    -59.6250       0.0028       0.0017
    -59.3750       0.0025       0.0016
    -59.1250       0.0020       0.0015
    -58.8750       0.0017       0.0014
    -58.6250       0.0014       0.0012
    -58.3750       0.0012       0.0011
    -58.1250       0.0009       0.0010
    -57.8750       0.0008       0.0009
    -57.6250       0.0005       0.0008
    -57.3750       0.0005       0.0007
    -57.1250       0.0003       0.0006
    -56.8750       0.0002       0.0005
    -56.6250       0.0001       0.0004
    -56.3750       0.0001       0.0003
    -56.1250       0.0001       0.0003
    -55.8750       0.0001       0.0003
    -55.6250       0.0001       0.0003
    -55.3750       0.0001       0.0003
    -55.1250       0.0001       0.0003
    -54.8750       0.0001       0.0003
    -54.6250       0.0001       0.0003
    -54.3750       0.0001       0.0003
    -54.1250       0.0001       0.0003
    -53.8750       0.0001       0.0003
    -53.6250       0.0001       0.0003
    -53.3750       0.0001       0.0003
    -53.1250       0.0001       0.0003
    -52.8750       0.0001       0.0003
    -52.6250       0.0001       0.0003
    -52.3750       0.0001       0.0004
    -52.1250       0.0001       0.0004
    -51.8750       0.0001       0.0004
    -51.6250       0.0001       0.0004
    -51.3750       0.0002       0.0004
    -51.1250       0.0001       0.0004
    -50.8750       0.0001       0.0004
    -50.6250       0.0002       0.0004
    -50.3750       0.0002       0.0004
    -50.1250       0.0002       0.0004
    -49.8750       0.0002       0.0004
    -49.6250       0.0002       0.0004
    -49.3750       0.0002       0.0005
    -49.1250       0.0002       0.0004
    -48.8750       0.0002       0.0004
    -48.6250       0.0002       0.0005
    -48.3750       0.0002       0.0004
    -48.1250       0.0002       0.0005
    -47.8750       0.0002       0.0005
    -47.6250       0.0002       0.0005
    -47.3750       0.0002       0.0005
    -47.1250       0.0002       0.0005
    -46.8750       0.0002       0.0005
    -46.6250       0.0002       0.0005
    -46.3750       0.0002       0.0005
    -46.1250       0.0002       0.0005
    -45.8750       0.0002       0.0005
    -45.6250       0.0002       0.0005
    -45.3750       0.0002       0.0005
    -45.1250       0.0002       0.0005
    -44.8750       0.0002       0.0005
    -44.6250       0.0002       0.0005
    -44.3750       0.0002       0.0005
    -44.1250       0.0002       0.0005
    -43.8750       0.0002       0.0005
    -43.6250       0.0002       0.0005
    -43.3750       0.0002       0.0005
    -43.1250       0.0002       0.0005
    -42.8750       0.0002       0.0005
    -42.6250       0.0002       0.0005
    -42.3750       0.0002       0.0005
    -42.1250       0.0002       0.0005
    -41.8750       0.0002       0.0005
    -41.6250       0.0002       0.0005
    -41.3750       0.0002       0.0005
    -41.1250       0.0002       0.0005
    -40.8750       0.0002       0.0005
    -40.6250       0.0002       0.0005
    -40.3750       0.0002       0.0005
    -40.1250       0.0002       0.0005
    -39.8750       0.0002       0.0005
    -39.6250       0.0002       0.0005
    -39.3750       0.0002       0.0004
    -39.1250       0.0002       0.0005
    -38.8750       0.0002       0.0005
    -38.6250       0.0002       0.0005
    -38.3750       0.0002       0.0005
    -38.1250       0.0002       0.0004
    -37.8750       0.0002       0.0005
    -37.6250       0.0002       0.0004
    -37.3750       0.0002       0.0004
    -37.1250       0.0002       0.0004
    -36.8750       0.0002       0.0004
    -36.6250       0.0002       0.0004
    -36.3750       0.0002       0.0004
    -36.1250       0.0002       0.0004
    -35.8750       0.0002       0.0004
    -35.6250       0.0001       0.0004
    -35.3750       0.0002       0.0004
    -35.1250       0.0002       0.0004
    -34.8750       0.0001       0.0004
    -34.6250       0.0001       0.0004
    -34.3750       0.0001       0.0004
    -34.1250       0.0001       0.0004
    -33.8750       0.0001       0.0004
    -33.6250       0.0001       0.0004
    -33.3750       0.0001       0.0003
    -33.1250       0.0001       0.0003
    -32.8750       0.0001       0.0003
    -32.6250       0.0001       0.0003
    -32.3750       0.0001       0.0003
    -32.1250       0.0001       0.0003
    -31.8750       0.0001       0.0003
    -31.6250       0.0001       0.0003
    -31.3750       0.0001       0.0003
    -31.1250       0.0001       0.0003
    -30.8750       0.0001       0.0003
    -30.6250       0.0001       0.0002
    -30.3750       0.0001       0.0002
    -30.1250       0.0000       0.0002
    -29.8750       0.0000       0.0002
    -29.6250       0.0000       0.0002
    -29.3750       0.0000       0.0002
    -29.1250       0.0000       0.0002
    -28.8750       0.0000       0.0002
    -28.6250       0.0001       0.0003
    -28.3750       0.0001       0.0003
    -28.1250       0.0001       0.0003
    -27.8750       0.0001       0.0003
    -27.6250       0.0001       0.0003
    -27.3750       0.0001       0.0004
    -27.1250       0.0001       0.0004
    -26.8750       0.0002       0.0005
    -26.6250       0.0003       0.0006
    -26.3750       0.0004       0.0007
    -26.1250       0.0007       0.0009
    -25.8750       0.0010       0.0011
    -25.6250       0.0016       0.0013
    -25.3750       0.0023       0.0016
    -25.1250       0.0030       0.0019
    -24.8750       0.0041       0.0022
    -24.6250       0.0051       0.0024
    -24.3750       0.0063       0.0026
    -24.1250       0.0077       0.0029
    -23.8750       0.0089       0.0031
    -23.6250       0.0106       0.0033
    -23.3750       0.0121       0.0035
    -23.1250       0.0136       0.0038
    -22.8750       0.0153       0.0040
    -22.6250       0.0173       0.0042
    -22.3750       0.0191       0.0044
    -22.1250       0.0212       0.0047
    -21.8750       0.0229       0.0049
    -21.6250       0.0247       0.0050
    -21.3750       0.0261       0.0052
    -21.1250       0.0274       0.0053
    -20.8750       0.0277       0.0055
    -20.6250       0.0271       0.0054
    -20.3750       0.0260       0.0052
    -20.1250       0.0250       0.0052
    -19.8750       0.0234       0.0050
    -19.6250       0.0214       0.0048
    -19.3750       0.0199       0.0047
    -19.1250       0.0180       0.0044
    -18.8750       0.0161       0.0042
    -18.6250       0.0140       0.0039
    -18.3750       0.0120       0.0036
    -18.1250       0.0100       0.0033
    -17.8750       0.0080       0.0029
    -17.6250       0.0061       0.0025
    -17.3750       0.0046       0.0022
    -17.1250       0.0031       0.0018
    -16.8750       0.0023       0.0016
    -16.6250       0.0016       0.0014
    -16.3750       0.0012       0.0012
    -16.1250       0.0009       0.0010
    -15.8750       0.0006       0.0009
    -15.6250       0.0004       0.0007
    -15.3750       0.0003       0.0006
    -15.1250       0.0002       0.0004
    -14.8750       0.0001       0.0003
    -14.6250       0.0000       0.0002
    -14.3750       0.0000       0.0002
    -14.1250       0.0000       0.0001
    -13.8750       0.0000       0.0001
    -13.6250       0.0000       0.0000
    -13.3750       0.0000       0.0000
    -13.1250       0.0000       0.0000
    -12.8750       0.0000       0.0000
    -12.6250       0.0000       0.0000
    -12.3750       0.0000       0.0000
    -12.1250       0.0000       0.0000
    -11.8750       0.0000       0.0000
    -11.6250       0.0000       0.0000
    -11.3750       0.0000       0.0000
    -11.1250       0.0000       0.0000
    -10.8750       0.0000       0.0000
    -10.6250       0.0000       0.0000
    -10.3750       0.0000       0.0000
    -10.1250       0.0000       0.0000
     -9.8750       0.0000       0.0000
     -9.6250       0.0000       0.0000
     -9.3750       0.0000       0.0000
     -9.1250       0.0000       0.0000
     -8.8750       0.0000       0.0000
     -8.6250       0.0000       0.0000
     -8.3750       0.0000       0.0000
     -8.1250       0.0000       0.0000
     -7.8750       0.0000       0.0000
     -7.6250       0.0000       0.0000
     -7.3750       0.0000       0.0000
     -7.1250       0.0000       0.0000
     -6.8750       0.0000       0.0000
     -6.6250       0.0000       0.0000
     -6.3750       0.0000       0.0000
     -6.1250       0.0000       0.0000
     -5.8750       0.0000       0.0000
     -5.6250       0.0000       0.0000
     -5.3750       0.0000       0.0000
     -5.1250       0.0000       0.0000
     -4.8750       0.0000       0.0000
     -4.6250       0.0000       0.0000
     -4.3750       0.0000       0.0000
     -4.1250       0.0000       0.0000
     -3.8750       0.0000       0.0000
     -3.6250       0.0000       0.0000
     -3.3750       0.0000       0.0000
     -3.1250       0.0000       0.0000
     -2.8750       0.0000       0.0000
     -2.6250       0.0000       0.0000
     -2.3750       0.0000       0.0000
     -2.1250       0.0000       0.0000
     -1.8750       0.0000       0.0000
     -1.6250       0.0000       0.0000
     -1.3750       0.0000       0.0000
     -1.1250       0.0000       0.0000
     -0.8750       0.0000       0.0000
     -0.6250       0.0000       0.0000
     -0.3750       0.0000       0.0000
     -0.1250       0.0000       0.0000
      0.1250       0.0000       0.0000
      0.3750       0.0000       0.0000
      0.6250       0.0000       0.0000
      0.8750       0.0000       0.0000
      1.1250       0.0000       0.0000
      1.3750       0.0000       0.0000
      1.6250       0.0000       0.0000
      1.8750       0.0000       0.0000
      2.1250       0.0000       0.0000
      2.3750       0.0000       0.0000
      2.6250       0.0000       0.0000
