fitness from FF 0.440418005973
gamma_C13a 0.00111083 0.00804 0.00443 0.00692917
gamma_C13b 0.00111083 0.01594 0.00461 0.01482917
gamma_C13c 0.00111083 0.01275 0.00374 0.011639169999999999
gamma_C14a 0.00111083 0.00577 0.00415 0.00465917
gamma_C14b 0.00111083 0.00955 0.00394 0.00843917
gamma_C14c 0.00111083 0.01681 0.00463 0.01569917
gamma_C15a 0.00111083 0.01025 0.00351 0.00913917
gamma_C15b 0.00111083 0.01012 0.00458 0.00900917
gamma_C15c 0.00111083 0.00929 0.00522 0.00817917
beta1 -0.04478707 -0.08406 0.00632 0.03927293
beta2 -0.04478707 -0.06664 0.00747 0.021852930000000007
alpha1 0.05589248 0.05491 0.0094 0.0009824800000000009
alpha2 0.05589248 0.01539 0.01131 0.04050248
g3_1 -0.23134863 -0.21938 0.01264 0.011968630000000008
g3_2 -0.23134863 -0.25077 0.01052 0.019421369999999993
g2_1 -0.20691616 -0.19155 0.01509 0.01536615999999999
g1_1 0.0 -0.17247 0.01554 0.17247
palmitoyl_C2a -0.20987741 -0.2278 0.00945 0.017922590000000016
palmitoyl_C2b -0.20987741 -0.19584 0.01127 0.01403741
palmitoyl_C3a -0.18840908 -0.17752 0.00788 0.010889079999999995
palmitoyl_C3b -0.18840908 -0.15257 0.00772 0.035839079999999995
palmitoyl_C4a -0.18619612 -0.21087 0.00695 0.02467388000000001
palmitoyl_C4b -0.18619612 -0.19766 0.00632 0.01146388000000001
palmitoyl_C5a -0.20173615 -0.20975 0.00572 0.008013849999999989
palmitoyl_C5b -0.20173615 -0.20194 0.00659 0.00020385000000000542
palmitoyl_C6a -0.19581075 -0.2253 0.00624 0.029489249999999995
palmitoyl_C6b -0.19581075 -0.21551 0.00633 0.01969925
palmitoyl_C7a -0.19507116 -0.22097 0.00576 0.025898840000000006
palmitoyl_C7b -0.19507116 -0.21099 0.0066 0.015918840000000017
palmitoyl_C8a -0.18174699 -0.21816 0.00668 0.036413009999999996
palmitoyl_C8b -0.18174699 -0.21613 0.00653 0.03438300999999999
palmitoyl_C9a -0.17434532 -0.202 0.00658 0.027654680000000015
palmitoyl_C9b -0.17434532 -0.19849 0.00656 0.02414468
palmitoyl_C10a -0.14991285 -0.19199 0.00594 0.04207715000000001
palmitoyl_C10b -0.14991285 -0.19073 0.00607 0.040817150000000024
palmitoyl_C11a -0.13658578 -0.17158 0.00571 0.03499422000000002
palmitoyl_C11b -0.13658578 -0.16905 0.00638 0.032464220000000016
palmitoyl_C12a -0.11585704 -0.15637 0.00603 0.040512960000000015
palmitoyl_C12b -0.11585704 -0.15523 0.00572 0.03937296000000001
palmitoyl_C13a -0.10623371 -0.13496 0.00471 0.02872629
palmitoyl_C13b -0.10623371 -0.1331 0.00501 0.02686629
palmitoyl_C14a -0.08994829 -0.1181 0.00395 0.028151709999999996
palmitoyl_C14b -0.08994829 -0.11656 0.00425 0.026611709999999997
palmitoyl_C15a -0.06699789 -0.09038 0.00323 0.023382109999999998
palmitoyl_C15b -0.06699789 -0.08699 0.00347 0.019992109999999993
palmitoyl_C16a -0.01813583 -0.0286 0.00138 0.010464170000000002
palmitoyl_C16b -0.01813583 -0.03043 0.0012 0.01229417
palmitoyl_C16c -0.01813583 -0.02852 0.00157 0.010384170000000002
oleoyl_C2a -0.0795825 -0.08187 0.01101 0.002287499999999998
oleoyl_C2b -0.122519 -0.11413 0.00856 0.008389000000000008
oleoyl_C3a -0.180265 -0.20655 0.00828 0.026285000000000003
oleoyl_C3b -0.180265 -0.20978 0.0072 0.029514999999999986
oleoyl_C4a -0.186187 -0.20616 0.00772 0.01997300000000002
